This file was created using the 202601 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199007   ,4.81   ,4.85   ,5.22   ,4.15   ,4.83   ,5.95   ,5.76   ,6.02   ,4.13   ,4.35   ,8.55   ,6.88   ,4.20   ,3.97   ,4.73   ,4.77   ,5.47   ,4.37   ,3.62   ,4.64   ,6.97   ,4.37   ,5.26   ,4.93   ,4.07
199008  ,-8.61  ,-9.76 ,-10.37 ,-10.07  ,-9.94 ,-10.44  ,-8.92 ,-10.52 ,-10.50 ,-10.76 ,-10.87  ,-8.77 ,-12.57 ,-11.51 ,-13.64 ,-10.63 ,-11.40 ,-11.69 ,-13.72 ,-12.73 ,-10.96 ,-10.16 ,-11.82  ,-8.52  ,-9.17
199009  ,-9.38  ,-8.30  ,-9.74  ,-9.42  ,-9.54 ,-10.61  ,-9.10  ,-9.40  ,-9.96  ,-9.74 ,-12.64 ,-10.63 ,-12.12 ,-10.86 ,-11.82 ,-12.65 ,-11.46 ,-11.09 ,-14.91 ,-10.81 ,-12.73 ,-11.53 ,-12.26 ,-11.55 ,-10.98
199010   ,2.05   ,2.57   ,3.29   ,3.69   ,2.73   ,3.93   ,5.03   ,6.25   ,4.74   ,4.06   ,8.01   ,7.39   ,8.36   ,4.02   ,5.38   ,5.11   ,6.27   ,6.94   ,6.99   ,4.32   ,7.92   ,9.15   ,9.65   ,5.82   ,6.72
199011  ,-3.92  ,-3.10  ,-3.22  ,-3.12  ,-3.08  ,-1.71  ,-2.62  ,-1.62  ,-1.05  ,-1.69  ,-2.70   ,1.93  ,-2.06  ,-2.39  ,-1.74  ,-1.23  ,-1.18  ,-0.29  ,-2.99  ,-2.35   ,0.79   ,0.45  ,-0.32   ,1.56   ,1.24
199012  ,-3.42   ,0.13   ,0.83  ,-0.91  ,-0.44   ,0.80   ,0.14  ,-0.11  ,-0.46  ,-0.36  ,-0.77  ,-1.11  ,-0.72  ,-0.89  ,-0.50  ,-1.01   ,0.17  ,-1.51  ,-0.10  ,-0.30  ,-1.39  ,-1.49   ,0.25  ,-1.44  ,-1.66
199101  ,-2.56  ,-2.82  ,-2.90  ,-2.42  ,-3.10  ,-1.32  ,-2.41  ,-2.00   ,0.09  ,-2.50  ,-1.18  ,-1.94  ,-2.12  ,-3.13  ,-0.49  ,-0.83  ,-0.32   ,0.00  ,-0.42  ,-0.04   ,2.94   ,3.61   ,2.50   ,1.47   ,5.19
199102   ,6.51   ,9.04   ,7.62   ,8.16   ,7.72   ,8.77  ,10.47  ,10.18   ,8.86  ,10.05   ,7.71   ,6.11   ,9.87  ,11.84  ,11.86   ,8.45   ,8.71   ,8.08  ,13.35  ,11.01   ,8.12   ,6.72   ,7.04   ,7.98   ,7.35
199103  ,-1.00  ,-1.51  ,-2.28  ,-2.19  ,-2.17  ,-3.44  ,-5.00  ,-4.49  ,-3.76  ,-5.16  ,-6.46  ,-5.65  ,-5.72  ,-5.76  ,-5.57  ,-5.36  ,-5.91  ,-5.80  ,-4.70  ,-5.47  ,-6.82  ,-6.39  ,-6.17  ,-7.53  ,-5.32
199104  ,-0.54   ,0.84   ,0.41  ,-1.42  ,-0.04  ,-0.04   ,0.87  ,-0.54  ,-1.88  ,-1.13  ,-0.50  ,-0.25  ,-0.41  ,-2.58  ,-2.91  ,-0.99  ,-0.63  ,-1.86  ,-2.23  ,-2.00  ,-0.60   ,1.27  ,-1.70   ,1.13  ,-1.47
199105  ,-0.81  ,-1.16  ,-1.71  ,-2.60  ,-2.96  ,-2.60  ,-2.29  ,-1.38  ,-1.71  ,-3.22  ,-1.40  ,-2.22  ,-1.65   ,0.07  ,-1.19  ,-1.58  ,-0.87  ,-0.73  ,-0.71  ,-1.38   ,1.44   ,2.36   ,1.32   ,1.61   ,2.00
199106  ,-6.28  ,-6.81  ,-6.32  ,-6.51  ,-6.23  ,-5.94  ,-6.76  ,-6.76  ,-6.95  ,-6.71  ,-5.62  ,-6.31  ,-4.76  ,-6.17  ,-7.41  ,-5.55  ,-6.03  ,-6.07  ,-6.56  ,-8.26  ,-6.72  ,-7.15  ,-6.54  ,-7.35  ,-8.38
199107   ,0.87   ,3.02   ,1.13   ,3.20   ,1.90   ,1.53   ,5.21   ,3.38   ,2.98   ,2.91   ,2.54   ,4.74   ,2.91   ,3.05   ,1.74   ,1.68   ,2.96   ,3.60   ,5.24   ,4.13   ,6.55   ,6.32   ,8.01   ,7.01   ,4.76
199108  ,-1.53   ,0.51   ,1.73   ,0.40   ,0.07   ,2.91   ,0.55   ,0.99   ,2.37  ,-0.59   ,0.98   ,2.45   ,2.69   ,0.56   ,1.30   ,1.97   ,1.88   ,0.78   ,1.97   ,1.15   ,1.30   ,2.16   ,1.65   ,2.06   ,3.43
199109   ,5.43   ,8.62   ,6.33   ,7.75   ,7.09   ,6.24   ,7.12   ,5.70   ,2.90   ,3.72   ,1.59   ,4.94   ,4.06   ,3.62   ,4.27   ,2.40   ,4.20   ,3.01   ,3.91   ,4.24   ,2.71   ,4.16   ,2.66   ,3.40   ,2.99
199110  ,-1.60  ,-2.10  ,-3.11  ,-2.08  ,-3.84  ,-2.99  ,-1.49  ,-1.95  ,-2.40  ,-4.15  ,-1.56  ,-1.81  ,-4.70  ,-3.99  ,-1.99  ,-4.26  ,-2.81  ,-3.04  ,-4.90  ,-3.44  ,-0.57  ,-0.93  ,-2.37  ,-4.40  ,-1.49
199111   ,0.42  ,-0.49  ,-1.09   ,0.40  ,-1.57  ,-1.01  ,-0.56  ,-0.68  ,-2.75  ,-3.68  ,-0.17  ,-3.77  ,-1.04  ,-3.18  ,-2.02  ,-0.94  ,-2.06  ,-3.58  ,-3.43  ,-4.57  ,-0.45  ,-1.01  ,-3.01  ,-2.88  ,-1.71
199112   ,3.67   ,3.89   ,3.30   ,3.55   ,2.50   ,5.08   ,2.36   ,3.10   ,4.03   ,3.34   ,3.58   ,3.15   ,1.98   ,4.03   ,3.66   ,5.56   ,5.52   ,4.62   ,3.83   ,3.88  ,10.41   ,8.24   ,6.32   ,6.97   ,5.67
199201  ,-4.02  ,-2.55  ,-3.38  ,-2.72  ,-2.80  ,-1.82  ,-1.95  ,-1.65   ,1.54  ,-1.21  ,-0.63   ,2.19   ,2.74   ,0.05   ,1.83  ,-2.28  ,-0.64   ,0.93   ,1.22   ,3.58  ,-1.03   ,0.12  ,-0.89   ,1.59   ,0.43
199202   ,0.81  ,-0.12   ,0.31  ,-0.71  ,-1.51   ,0.15  ,-1.29  ,-0.14   ,0.28  ,-0.56   ,1.11  ,-0.53  ,-0.78  ,-0.75   ,0.66   ,0.49   ,0.41   ,1.01  ,-0.13   ,1.02  ,-1.76   ,1.08  ,-1.06  ,-0.15   ,1.11
