Date,Return_LHA
201603,3.0467
201604,-1.0976
201605,-7.1156
201606,-16.3951
201607,0.9497
201608,-1.7399
201609,-5.1715
201610,17.5691
201611,4.9808
201612,0.3684
201701,0.5290
201702,12.1150
201703,9.9027
201704,4.2092
201705,12.6275
201706,15.2072
201707,-8.7836
201708,15.9225
201709,11.5747
201710,16.5471
201711,5.3681
201712,6.4037
201801,-6.4445
201802,-3.8974
201803,-6.0843
201804,-6.8195
201805,-0.6853
201806,-11.3965
201807,16.5067
201808,-6.2940
201809,-5.9128
201810,-16.0626
201811,21.0591
201812,-8.3758
201901,11.9758
201902,1.7714
201903,-12.8531
201904,9.9940
201905,-17.5350
201906,-11.6095
201907,-4.6107
201908,-2.7479
201909,4.2886
201910,6.6199
201911,10.7776
201912,-4.7099
202001,-15.7169
202002,-15.4762
202003,-26.7591
202004,-4.7186
202005,12.0607
202006,-2.1882
202007,-16.3715
202008,16.7402
202009,-15.6955
202010,0.1637
202011,30.8513
202012,12.1157
202101,-1.5726
202102,15.4099
202103,-7.9773
202104,-5.0163
202105,-0.5584
202106,-11.1256
202107,0.6112
202108,-11.1334
202109,-1.9498
202110,-3.8222
202111,-6.1450
202112,15.2769
202201,10.1456
202202,0.9990
202203,7.0255
202204,-2.7860
202205,-4.5708
202206,-18.4925
202207,7.7283
202208,-0.9843
202209,-0.2864
202210,17.3201
202211,10.2838
202212,1.4110
202301,25.0548
202302,1.1430
202303,4.4593
202304,-5.1657
202305,-5.8582
202306,2.4017
202307,-2.1322
202308,-10.1307
202309,-8.9697
202310,-12.1172
202311,20.9091
202312,0.8772
202401,-3.7267
202402,-7.2258
202403,1.2517
202404,-7.8297
202405,-4.3219
202406,-11.0591
202407,1.5762
202408,1.5517
202409,11.7148
202410,-3.3130
202411,-0.4086
202412,-2.5253
202501,1.4572
202502,10.2136
202503,-3.0409
202504,-5.6750
202505,11.5610
202506,1.9022
202507,5.0696
202508,5.4604
202509,-9.4017
202510,5.3552
202511,8.9018
202512,1.6445
202601,3.4975
202602,4.4598
